Outcome (or Indicator),Group,Percentage,Confidence Interval,Title,Description,Year
Delayed getting medical care due to cost,"Native Hawaiian or Other Pacific Islander, single race",999,,"Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2020
Delayed getting medical care due to cost,Black or African American and White,999,,"Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2020
Delayed getting medical care due to cost,American Indian or Alaska Native and White,999,,"Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2020
Delayed getting medical care due to cost,Hispanic or Latino,2.3,"1.4,  3.5","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2020
Delayed getting medical care due to cost,Not Hispanic or Latino,0.8,"0.5,  1.2","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2020
Delayed getting medical care due to cost,Mexican or Mexican American,1.5,"0.8,  2.6","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2020
Delayed getting medical care due to cost,"Not Hispanic or Latino, White, single race",0.8,"0.5,  1.2","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2020
Delayed getting medical care due to cost,"Not Hispanic or Latino, Black or African American, single race",1.2,"0.2,  3.8","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2020
Delayed getting medical care due to cost,"Other, non-Hispanic",0.7,"0.2,  1.9","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2020
Delayed getting medical care due to cost,"Single parent, never married",0.8,"0.2,  2.0","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2020
Delayed getting medical care due to cost,"Single parent, ever married",2.5,"1.2,  4.5","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2020
Delayed getting medical care due to cost,Married parents,1,"0.6,  1.5","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2020
Delayed getting medical care due to cost,Cohabiting parents,0.1,"0.0,  1.2","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2020
Delayed getting medical care due to cost,At least one related or unrelated adult (not a parent),999,,"Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2020
Delayed getting medical care due to cost,No working parents,1,"0.3,  2.5","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2020
Delayed getting medical care due to cost,"Single parent, working",2.1,"1.1,  3.4","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2020
Delayed getting medical care due to cost,"Two parents, one working",1.1,"0.4,  2.4","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2020
Delayed getting medical care due to cost,"Two parents, both working",0.7,"0.4,  1.1","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2020
Delayed getting medical care due to cost,Less than high school diploma,999,,"Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2020
Delayed getting medical care due to cost,High school diploma or GED,0.7,"0.3,  1.5","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2020
Delayed getting medical care due to cost,Some college,1.1,"0.7,  1.8","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2020
Delayed getting medical care due to cost,College degree or higher,0.8,"0.4,  1.4","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2020
Delayed getting medical care due to cost,Less than 100% FPL,0.9,"0.2,  2.5","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2020
Delayed getting medical care due to cost,100% to less than 200% FPL,2.1,"1.1,  3.8","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2020
Delayed getting medical care due to cost,200% and greater FPL,0.9,"0.6,  1.3","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2020
Delayed getting medical care due to cost,Private,0.8,"0.4,  1.3","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2020
Delayed getting medical care due to cost,Medicaid or other public,0.8,"0.5,  1.4","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2020
Delayed getting medical care due to cost,Other coverage,888,,"Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2020
Delayed getting medical care due to cost,Uninsured,8.7,"4.7, 14.5","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2020
Delayed getting medical care due to cost,With disability,3.4,"1.6,  6.3","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2020
Delayed getting medical care due to cost,Without disability,0.9,"0.6,  1.4","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2020
Delayed getting medical care due to cost,Large MSA,1.1,"0.7,  1.8","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2020
Delayed getting medical care due to cost,Small MSA,1.3,"0.8,  2.1","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2020
Delayed getting medical care due to cost,Not in MSA,1,"0.4,  2.3","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2020
Delayed getting medical care due to cost,Northeast,0.9,"0.2,  2.6","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2020
Delayed getting medical care due to cost,Midwest,0.7,"0.3,  1.6","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2020
Delayed getting medical care due to cost,South,1.2,"0.8,  1.9","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2020
Delayed getting medical care due to cost,West,1.7,"0.9,  2.9","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2020
Delayed getting medical care due to cost,Large central metro,0.8,"0.4,  1.4","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2020
Delayed getting medical care due to cost,Large fringe metro,1.5,"0.7,  2.9","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2020
Delayed getting medical care due to cost,Medium and small metro,1.3,"0.8,  2.1","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2020
Delayed getting medical care due to cost,Nonmetropolitan,1,"0.4,  2.3","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2020
Delayed getting medical care due to cost,Little to no social vulnerability,0.9,"0.2,  2.4","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2020
Delayed getting medical care due to cost,Low social vulnerability,1.3,"0.6,  2.4","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2020
Delayed getting medical care due to cost,Medium social vulnerability,1.4,"0.9,  2.2","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2020
Delayed getting medical care due to cost,High social vulnerability,1,"0.5,  1.8","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2020
Two or more hospital emergency department visits,Total,4.7,"4.0,  5.4","Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2020
Two or more hospital emergency department visits,Male,4.7,"3.7,  5.8","Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2020
Two or more hospital emergency department visits,Female,4.6,"3.7,  5.8","Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2020
Two or more hospital emergency department visits,0-4 years,6.1,"4.6,  7.8","Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2020
Two or more hospital emergency department visits,5-11 years,4.1,"3.1,  5.5","Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2020
Two or more hospital emergency department visits,12-17 years,4.1,"3.1,  5.3","Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2020
Two or more hospital emergency department visits,"White, single race",4.6,"3.8,  5.5","Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2020
Two or more hospital emergency department visits,"Black or African American, single race",4.8,"3.0,  7.4","Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2020
Two or more hospital emergency department visits,"American Indian or Alaska Native, single race",999,,"Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2020
Two or more hospital emergency department visits,"Asian, single race",5,"2.5,  8.9","Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2020
Two or more hospital emergency department visits,"Native Hawaiian or Other Pacific Islander, single race",999,,"Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2020
Two or more hospital emergency department visits,Black or African American and White,999,,"Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2020
Two or more hospital emergency department visits,American Indian or Alaska Native and White,999,,"Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2020
Two or more hospital emergency department visits,Hispanic or Latino,5.1,"3.8,  6.8","Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2020
Two or more hospital emergency department visits,Not Hispanic or Latino,4.5,"3.8,  5.3","Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2020
Two or more hospital emergency department visits,Mexican or Mexican American,4.8,"3.1,  7.2","Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2020
Two or more hospital emergency department visits,"Not Hispanic or Latino, White, single race",4.2,"3.3,  5.1","Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2020
Two or more hospital emergency department visits,"Not Hispanic or Latino, Black or African American, single race",4.7,"2.8,  7.3","Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2020
Two or more hospital emergency department visits,"Other, non-Hispanic",6,"3.6,  9.2","Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2020
Two or more hospital emergency department visits,"Single parent, never married",6.9,"4.4, 10.4","Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2020
Two or more hospital emergency department visits,"Single parent, ever married",4.1,"2.7,  6.0","Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2020
Two or more hospital emergency department visits,Married parents,4,"3.2,  5.0","Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2020
Two or more hospital emergency department visits,Cohabiting parents,6,"3.3,  9.7","Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2020
Two or more hospital emergency department visits,At least one related or unrelated adult (not a parent),999,,"Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2020
Two or more hospital emergency department visits,No working parents,6.8,"4.7,  9.6","Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2020
Two or more hospital emergency department visits,"Single parent, working",5.1,"3.7,  6.9","Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2020
Two or more hospital emergency department visits,"Two parents, one working",4.7,"3.2,  6.6","Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2020
Two or more hospital emergency department visits,"Two parents, both working",3.6,"2.7,  4.7","Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2020
Two or more hospital emergency department visits,Less than high school diploma,3.7,"1.8,  6.8","Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2020
Two or more hospital emergency department visits,High school diploma or GED,8,"5.9, 10.6","Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2020
Two or more hospital emergency department visits,Some college,5.7,"4.3,  7.5","Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2020
Two or more hospital emergency department visits,College degree or higher,2.7,"2.0,  3.4","Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2020
Two or more hospital emergency department visits,Less than 100% FPL,9.3,"6.5, 12.7","Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2020
Two or more hospital emergency department visits,100% to less than 200% FPL,5.8,"4.1,  7.8","Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2020
Two or more hospital emergency department visits,200% and greater FPL,3,"2.4,  3.7","Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2020
Two or more hospital emergency department visits,Private,3.5,"2.8,  4.4","Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2020
Two or more hospital emergency department visits,Medicaid or other public,6.9,"5.5,  8.6","Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2020
Two or more hospital emergency department visits,Other coverage,999,,"Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2020
Two or more hospital emergency department visits,Uninsured,1.1,"0.2,  3.2","Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2020
Two or more hospital emergency department visits,With disability,8.5,"5.6, 12.2","Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2020
Two or more hospital emergency department visits,Without disability,3.8,"3.1,  4.6","Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2020
Two or more hospital emergency department visits,Large MSA,4.7,"3.8,  5.7","Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2020
Two or more hospital emergency department visits,Small MSA,4.2,"3.2,  5.4","Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2020
Two or more hospital emergency department visits,Not in MSA,5.4,"3.3,  8.3","Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2020
Two or more hospital emergency department visits,Northeast,5.6,"4.0,  7.6","Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2020
Two or more hospital emergency department visits,Midwest,4.4,"3.0,  6.3","Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2020
Two or more hospital emergency department visits,South,4.5,"3.5,  5.7","Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2020
Two or more hospital emergency department visits,West,4.5,"3.3,  6.0","Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2020
Two or more hospital emergency department visits,Large central metro,5.4,"4.1,  7.0","Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2020
Two or more hospital emergency department visits,Large fringe metro,3.9,"2.8,  5.3","Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2020
Two or more hospital emergency department visits,Medium and small metro,4.2,"3.2,  5.4","Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2020
Two or more hospital emergency department visits,Nonmetropolitan,5.5,"3.3,  8.4","Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2020
Two or more hospital emergency department visits,Little to no social vulnerability,3.7,"2.4,  5.4","Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2020
Two or more hospital emergency department visits,Low social vulnerability,4.4,"3.2,  5.8","Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2020
